date,ticker
2017-06-30,B3SA3
2017-06-30,BBAS3
2017-06-30,BBDC3
2017-06-30,BBDC4
2017-06-30,BBSE3
2017-06-30,BRAP4
2017-06-30,BRFS3
2017-06-30,BRKM5
2017-06-30,BRML3
2017-06-30,CCRO3
2017-06-30,CIEL3
2017-06-30,CMIG4
2017-06-30,COGN3
2017-06-30,CPFE3
2017-06-30,CPLE6
2017-06-30,CSAN3
2017-06-30,CSNA3
2017-06-30,CYRE3
2017-06-30,ECOR3
2017-06-30,EGIE3
2017-06-30,ELET3
2017-06-30,ELET6
2017-06-30,EMBR3
2017-06-30,ENBR3
2017-06-30,EQTL3
2017-06-30,FIBR3
2017-06-30,GGBR4
2017-06-30,GOAU4
